count,id,lat,lon
4,060964012801,34.155,-118.831
4,061914002306,33.079,-116.595
4,250354000847,42.399,-71.019
4,260192003923,41.988,-84.344
4,402277002863,35.595,-97.594
3,063255013890,37.978,-122.327
3,064038006087,39.205,-121.038
3,069102607567,33.979,-117.38
3,080465000679,37.279,-104.379
3,080474000685,39.139,-103.477
3,080570000973,37.998,-105.91
3,080630001414,38.084,-106.137
3,080636001416,37.208,-105.423
3,120138003445,30.699,-86.522
3,179999206407,41.78,-88.112
3,190363000067,42.153,-90.591
3,191416000843,42.625,-96.296
3,192901001671,41.529,-93.953
3,251113002830,42.119,-72.612
3,262142000191,45.999,-84.357
3,262535006194,46.351,-85.511
3,270002100540,47.466,-92.532
3,271152000529,47.9,-91.858
3,272121000927,44.416,-95.556
3,273051001302,47.879,-95.015
3,279999202732,45.059,-94.071
3,280129000182,31.561,-89.499
3,280366000701,34.364,-89.027
3,291092000371,36.624,-90.82
3,291530000696,37.798,-93.574
3,300342000047,47.389,-110.928
3,302124000636,48.112,-105.202
3,310001500121,40.283,-100.175
3,317422001291,42.131,-98.025
3,317719001633,40.46,-96.376
3,350009000618,31.951,-108.811
3,361203000968,42.133,-73.89
3,362034005874,41.123,-73.982
3,362058003607,40.792,-73.971
3,362058005645,40.839,-73.936
3,362058005800,40.881,-73.861
3,362667003635,42.866,-73.808
3,362667003639,42.866,-73.808
3,363195004278,42.83,-77.893
3,390444601390,38.76,-82.93
3,390482703186,39.789,-83.476
3,390506204009,41.558,-84.781
3,391002101096,41.245,-83.232
3,391002603644,38.804,-82.982
3,400540001674,35.233,-97.72
3,402916001170,34.508,-96.978
3,420405006309,40.497,-75.703
3,420471000813,40.048,-79.927
3,421443003902,40.81,-76.151
3,465430000491,43.393,-97.976
3,480945000402,29.838,-94.851
3,481173000678,31.306,-97.249
3,481830010646,31.793,-106.399
3,482799003135,27.689,-97.48
3,482855008093,31.333,-94.732
3,482889012305,30.273,-97.636
3,482913003283,31.314,-96.879
3,483177003539,33.177,-95.228
3,484284004885,31.906,-94.39
3,484398004990,35.25,-102.419
3,484500005126,30.258,-94.562
3,510039000031,37.103,-81.114
3,530480000729,47.199,-123.432
3,530552000829,46.377,-123.802
3,530963002828,47.898,-117.988
3,550001602378,44.291,-91.21
3,550045000069,42.707,-89.868
3,550063000092,44.685,-91.141
3,550741001726,44.452,-87.518
3,550987001302,43.796,-89.322
3,551665002175,44.366,-91.33
3,560568000310,44.637,-106.382
2,010018800925,30.761,-88.082
2,010180001773,34.611,-86.548
2,010240000982,31.524,-87.33
2,010267001577,32.445,-87.518
2,020003000020,58.733,-157.005
2,020009000433,55.476,-133.137
2,020013000044,64.746,-156.879
2,020015000046,55.355,-131.683
2,020030000146,58.109,-135.442
2,020039000296,59.644,-151.568
2,020052500111,55.126,-131.577
2,020057000323,64.542,-165.405
2,040060002676,33.511,-112.1
2,040091000047,35.221,-112.486
2,040096002928,33.443,-112.338
2,040096003498,33.44,-112.398
2,040150002186,35.101,-114.626
2,040160001802,34.567,-111.856
2,040187003464,33.274,-111.79
2,040304000239,33.627,-111.72
2,040308000241,36.952,-112.521
2,040329000253,35.712,-109.533
2,040378003260,33.309,-111.682
2,040423000660,33.313,-112.057
2,040438003271,33.469,-112.375
2,040441001302,36.906,-113.929
2,040503001077,33.411,-110.833
2,040593000478,33.606,-111.954
2,040658001140,34.168,-109.974
2,040841000797,32.852,-109.758
2,040855002354,32.756,-111.697
2,040906002171,33.566,-112.135
2,040943000967,35.739,-109.065
2,050000601131,33.627,-92.068
2,050001900207,35.872,-91.756
2,050002300771,35.601,-91.272
2,050002601541,34.228,-92.01
2,050003001398,33.592,-93.296
2,050004701344,35.673,-90.519
2,050006800108,33.101,-93.661
2,050006801062,33.099,-93.458
2,050007200222,35.826,-93.208
2,050007200734,35.921,-93.059
2,050007900385,34.937,-93.493
2,050008201206,36.109,-91.104
2,050040500777,34.278,-94.053
2,050228000006,36.291,-93.295
2,050261000032,35.246,-92.944
2,050273000039,34.552,-90.767
2,050282000050,35.748,-90.566
